clinical_drug_form,ingredient
727382,67109
371331,2186
1739546,1242127
375312,10390
377707,5084
370998,1359
372003,195085
237951,6972
402751,8031
374057,10391
372888,6916
370540,430
1728071,68446
1865664,77655
372196,87636
378837,214549
378651,28031
372801,59078
1731344,3131
800363,6579
374372,1815
801480,6579
1657443,797629
370570,704
1794537,733003
372652,6472
374648,274332
1657657,318341
371889,3498
379059,38866
800975,6536
2108433,40138
372660,6536
377613,1514
1738334,42316
378939,11516
377716,3435
1790207,11516
378925,32937
371766,3289
373965,10154
722115,358274
904395,46041
378233,42347
825023,26744
371112,194881
901639,798226
2108539,7407
370797,17300
373262,7980
378277,35302
373125,7531
438654,407990
375278,35302
154906,7407
891521,1588
1797885,7407
1304557,1588
370536,281
371786,3322
1657861,121191
370782,281
800562,36696
1865657,5992
371781,3322
1734931,281
1729335,1599832
373105,4917
372907,6923
373282,8004
385082,343048
379128,8536
376031,8536
800562,3024
374631,8536
374153,72937
373937,9947
372618,42351
486041,56466
374033,37798
372616,42351
476143,190521
377978,1399
375787,214342
371268,6375
405915,6375
1250233,214342
378303,341248
377504,6135
374862,1399
377828,10753
1740454,139994
828926,25120
377962,10753
370656,5521
1657463,798302
377454,22298
1928566,55018
1670010,1670007
372819,6832
498897,4441
1664992,2193
370558,620
373959,59763
1863342,11202
862005,40114
901639,901624
374192,10763
374122,10572
2371799,42954
374193,10763
377949,7676
829986,798306
371001,18867
798308,798306
1729351,1828
374026,10355
371002,18867
807272,798306
804543,23043
700835,4821
486068,7892
372564,11413
1796689,5542
374331,11413
372807,6813
372808,6813
1808216,8782
1869549,6813
378991,321064
374555,7833
378993,34905
1724201,229367
1437967,3002
372747,6703
371664,3002
372256,42355
372855,6876
372748,6703
371624,2683
1734916,3002
376666,3002
854976,854964
372655,6475
597143,134615
1747560,1747556
373143,32385
373585,8640
2282516,1011
373583,8640
372717,6646
372350,26237
2103210,606396
1797850,42612
373718,9010
746181,42612
378379,42612
2269593,1819
379128,10829
1721597,719
374234,10829
374575,9945
374230,10829
1867723,10814
374110,10510
373868,36437
374670,68149
998040,108118
374667,68149
372972,42372
372596,10814
1657973,612865
377831,10759
370592,1091
374401,10759
371513,2541
1792143,10759
96818,10759
385106,25126
377894,25126
