CHILD;PARENT
43304-5;LP374399-6
LP374399-6;LP37619-1
LP37619-1;LP14298-1
LP14298-1;LP14250-2
LP14250-2;LP98185-9
LP98185-9;LP14559-6
LP14559-6;LP7819-8
LP7819-8;LP343406-7
LP343406-7;LP29693-6
LP29693-6;ROOT
22315-6;LP377619-4
LP377619-4;LP38318-9
LP38318-9;LP38316-3
LP38316-3;LP16708-7
LP16708-7;LP21025-9
LP21025-9;LP14855-8
LP14855-8;LP14559-6
5183-9;LP377614-5
LP377614-5;LP38316-3
5187-0;LP377627-7
LP377627-7;LP38323-9
LP38323-9;LP14414-4
LP14414-4;LP14306-2
LP14306-2;LP21025-9
22319-8;LP377636-8
LP377636-8;LP38325-4
LP38325-4;LP38323-9
5193-8;LP377661-6
LP377661-6;LP38330-4
LP38330-4;LP14820-2
LP14820-2;LP14306-2
5196-1;LP377670-7
LP377670-7;LP38331-2
LP38331-2;LP14820-2
16128-1;LP377682-2
LP377682-2;LP38332-0
LP38332-0;LP14400-3
LP14400-3;LP21025-9
5220-9;LP378047-7
LP378047-7;LP38421-1
LP38421-1;LP14307-0
LP14307-0;LP17126-1
LP17126-1;LP14855-8
31859-2;LP378396-8
LP378396-8;LP38644-8
LP38644-8;LP14239-5
LP14239-5;LP17147-7
LP17147-7;LP14855-8
31864-2;LP378548-4
LP378548-4;LP38692-7
LP38692-7;LP14240-3
LP14240-3;LP17147-7
54905-5;LP378718-3
LP378718-3;LP90131-1
LP90131-1;LP90134-5
LP90134-5;LP64188-3
LP64188-3;LP14855-8
54906-3;LP378720-9
LP378720-9;LP90132-9
LP90132-9;LP90135-2
LP90135-2;LP64188-3
6681-1;LP379837-0
LP379837-0;LP40224-5
LP40224-5;LP30609-9
LP30609-9;LP7819-8
681-7;LP379843-8
LP379843-8;LP40224-5
429-1;LP380420-2
LP380420-2;LP16274-0
LP16274-0;LP31463-0
LP31463-0;LP7755-4
LP7755-4;LP343406-7
33-1;LP380492-1
LP380492-1;LP15937-3
LP15937-3;LP31426-7
LP31426-7;LP7755-4
77-8;LP380531-6
LP380531-6;LP16066-0
LP16066-0;LP31426-7
8272-7;LP380536-5
LP380536-5;LP17165-9
LP17165-9;LP31426-7
134-7;LP380585-2
LP380585-2;LP15242-8
LP15242-8;LP31426-7
142-0;LP380596-9
LP380596-9;LP15260-0
LP15260-0;LP31426-7
146-1;LP380602-5
LP380602-5;LP15261-8
LP15261-8;LP32648-5
LP32648-5;LP31426-7
186-7;LP380624-9
LP380624-9;LP15380-6
LP15380-6;LP31426-7
194-1;LP380643-9
LP380643-9;LP15427-5
LP15427-5;LP31426-7
35787-1;LP380663-7
LP380663-7;LP33354-9
LP33354-9;LP31426-7
234-5;LP380681-9
LP380681-9;LP15115-6
LP15115-6;LP31426-7
268-3;LP380709-8
LP380709-8;LP15747-6
LP15747-6;LP31426-7
280-8;LP380719-7
LP380719-7;LP15795-5
LP15795-5;LP31426-7
21367-8;LP380739-5
LP380739-5;LP17276-4
LP17276-4;LP31426-7
29255-7;LP380746-0
LP380746-0;LP21256-0
LP21256-0;LP31426-7
6653-0;LP380760-1
LP380760-1;LP17167-5
LP17167-5;LP31426-7
364-0;LP380796-5
LP380796-5;LP16140-3
LP16140-3;LP31426-7
384-8;LP380816-1
LP380816-1;LP16206-2
LP16206-2;LP31426-7
393-9;LP380831-0
LP380831-0;LP16237-7
LP16237-7;LP14319-5
LP14319-5;LP31426-7
409-3;LP380844-3
LP380844-3;LP16256-7
LP16256-7;LP31426-7
413-5;LP380847-6
LP380847-6;LP16311-0
LP16311-0;LP31426-7
497-8;LP380910-2
LP380910-2;LP16286-4
LP16286-4;LP31426-7
509-0;LP380923-5
LP380923-5;LP16294-8
LP16294-8;LP31426-7
517-3;LP380928-4
LP380928-4;LP16302-9
LP16302-9;LP31426-7
525-6;LP380936-7
LP380936-7;LP16306-0
LP16306-0;LP31426-7
2143-6;LP381061-3
LP381061-3;LP14161-1
LP14161-1;LP31653-6
LP31653-6;LP31396-2
LP31396-2;LP7786-9
LP7786-9;LP343631-0
LP343631-0;LP29693-6
2191-5;LP381157-9
LP381157-9;LP15527-2
LP15527-2;LP15528-0
LP15528-0;LP31654-4
LP31654-4;LP31396-2
2991-8;LP381186-8
LP381186-8;LP18811-7
LP18811-7;LP14045-6
LP14045-6;LP31654-4
2986-8;LP381179-3
LP381179-3;LP14045-6
2731-8;LP381353-4
LP381353-4;LP15778-1
LP15778-1;LP18184-9
LP18184-9;LP31659-3
LP31659-3;LP31396-2
15067-2;LP381364-1
LP381364-1;LP14499-5
LP14499-5;LP31660-1
LP31660-1;LP31396-2
2842-3;LP381387-2
LP381387-2;LP14688-3
LP14688-3;LP31660-1
74953-1;LP381394-8
LP381394-8;LP34987-5
LP34987-5;LP14688-3
3016-3;LP381405-2
LP381405-2;LP14487-0
LP14487-0;LP31660-1
2106-3;LP381427-6
LP381427-6;LP104997-4
LP104997-4;LP14651-1
LP14651-1;LP31662-7
LP31662-7;LP31396-2
2119-6;LP381421-9
LP381421-9;LP14651-1
3013-0;LP381503-4
LP381503-4;LP14697-4
LP14697-4;LP31666-8
LP31666-8;LP31396-2
3026-2;LP381510-9
LP381510-9;LP15900-1
LP15900-1;LP31666-8
3024-7;LP381519-0
LP381519-0;LP29119-2
LP29119-2;LP15900-1
3027-0;LP381524-0
LP381524-0;LP307570-4
LP307570-4;LP15900-1
3050-2;LP381528-1
LP381528-1;LP15921-7
LP15921-7;LP15922-5
LP15922-5;LP31666-8
3053-6;LP381527-3
LP381527-3;LP15922-5
2085-9;LP382427-5
LP382427-5;LP15489-5
LP15489-5;LP15493-7
LP15493-7;LP183760-0
LP183760-0;LP15705-4
LP15705-4;LP7786-9
9618-0;LP382410-1
LP382410-1;LP15493-7
2093-3;LP382412-7
LP382412-7;LP15493-7
2089-1;LP382445-7
LP382445-7;LP15491-1
LP15491-1;LP15493-7
22748-8;LP382445-7
9322-9;LP382480-4
LP382480-4;LP307370-9
LP307370-9;LP18020-5
LP18020-5;LP15493-7
49097-9;LP382610-6
LP382610-6;LP15509-0
LP15509-0;LP31403-6
LP31403-6;LP7786-9
1742-6;LP382703-9
LP382703-9;LP15333-5
LP15333-5;LP31392-1
LP31392-1;LP7786-9
6768-6;LP382722-9
LP382722-9;LP15346-7
LP15346-7;LP31392-1
1797-0;LP382780-7
LP382780-7;LP15355-8
LP15355-8;LP31392-1
1798-8;LP382784-9
LP382784-9;LP15355-8
1920-8;LP382836-7
LP382836-7;LP15426-7
LP15426-7;LP31392-1
20569-0;LP382939-9
LP382939-9;LP307397-2
LP307397-2;LP15513-2
LP15513-2;LP32868-9
LP32868-9;LP15510-8
LP15510-8;LP31392-1
2157-6;LP382927-4
LP382927-4;LP15510-8
2324-2;LP383003-3
LP383003-3;LP15590-0
LP15590-0;LP31392-1
2356-4;LP383014-0
LP383014-0;LP15601-5
LP15601-5;LP31392-1
60020-5;LP383080-1
LP383080-1;LP15033-1
LP15033-1;LP31392-1
2532-0;LP383084-3
