CHILD;PARENT
00-00;ROOT
00.0;00-00
00.09;00.0
00.1;00-00
00.10;00.1
00.11;00.1
00.12;00.1
00.13;00.1
00.14;00.1
00.15;00.1
00.16;00.1
00.17;00.1
00.18;00.1
00.2;00-00
00.21;00.2
00.22;00.2
00.23;00.2
00.24;00.2
00.28;00.2
00.3;00-00
00.31;00.3
00.32;00.3
00.33;00.3
00.34;00.3
00.39;00.3
00.4;00-00
00.40;00.4
00.41;00.4
00.42;00.4
00.43;00.4
00.44;00.4
00.45;00.4
00.46;00.4
00.47;00.4
00.48;00.4
00.5;00-00
00.50;00.5
00.51;00.5
00.52;00.5
00.53;00.5
00.54;00.5
00.55;00.5
00.56;00.5
00.57;00.5
00.58;00.5
00.59;00.5
00.6;00-00
00.60;00.6
00.61;00.6
00.64;00.6
00.67;00.6
00.68;00.6
00.7;00-00
00.71;00.7
00.72;00.7
00.73;00.7
00.74;00.7
00.75;00.7
00.76;00.7
00.77;00.7
00.8;00-00
00.81;00.8
00.82;00.8
00.83;00.8
00.84;00.8
00.9;00-00
00.91;00.9
00.92;00.9
00.95;00.9
00.96;00.9
01-05;ROOT
01.0;01-05
01.02;01.0
01.09;01.0
01.1;01-05
01.10;01.1
01.12;01.1
01.13;01.1
01.16;01.1
01.17;01.1
01.18;01.1
01.2;01-05
01.20;01.2
01.24;01.2
01.25;01.2
01.26;01.2
01.27;01.2
01.28;01.2
01.29;01.2
01.3;01-05
01.39;01.3
01.5;01-05
01.51;01.5
01.59;01.5
02.0;01-05
02.06;02.0
02.1;01-05
02.12;02.1
02.2;01-05
02.21;02.2
02.3;01-05
02.34;02.3
02.39;02.3
02.4;01-05
02.41;02.4
02.9;01-05
02.91;02.9
02.93;02.9
02.94;02.9
02.95;02.9
02.99;02.9
03.0;01-05
03.09;03.0
03.2;01-05
03.29;03.2
03.3;01-05
03.32;03.3
03.39;03.3
03.4;01-05
03.5;01-05
03.59;03.5
03.7;01-05
03.79;03.7
03.9;01-05
03.90;03.9
03.92;03.9
03.93;03.9
03.97;03.9
03.99;03.9
04.0;01-05
04.03;04.0
04.04;04.0
04.07;04.0
04.1;01-05
04.11;04.1
04.12;04.1
04.2;01-05
04.3;01-05
04.4;01-05
04.42;04.4
04.49;04.4
04.5;01-05
04.7;01-05
04.74;04.7
04.75;04.7
04.79;04.7
04.8;01-05
04.89;04.8
04.9;01-05
04.92;04.9
04.99;04.9
05.1;01-05
05.11;05.1
05.2;01-05
05.29;05.2
05.3;01-05
05.39;05.3
06-07;ROOT
06.0;06-07
06.01;06.0
06.09;06.0
06.1;06-07
06.11;06.1
06.2;06-07
06.3;06-07
06.39;06.3
06.7;06-07
06.8;06-07
06.89;06.8
06.9;06-07
06.92;06.9
06.95;06.9
06.99;06.9
07.1;06-07
07.11;07.1
07.2;06-07
07.22;07.2
07.29;07.2
07.4;06-07
07.49;07.4
07.8;06-07
07.81;07.8
07.82;07.8
07.83;07.8
07.84;07.8
08-16;ROOT
08.0;08-16
08.09;08.0
08.2;08-16
08.22;08.2
08.3;08-16
08.36;08.3
08.5;08-16
08.59;08.5
08.6;08-16
08.69;08.6
08.7;08-16
08.74;08.7
08.8;08-16
08.81;08.8
08.83;08.8
08.85;08.8
08.89;08.8
08.9;08-16
08.93;08.9
08.99;08.9
09.9;08-16
09.99;09.9
10.4;08-16
10.49;10.4
11.2;08-16
11.21;11.2
11.5;08-16
11.59;11.5
12.1;08-16
12.12;12.1
12.3;08-16
12.32;12.3
13.1;08-16
13.19;13.1
13.5;08-16
13.59;13.5
13.6;08-16
13.69;13.6
13.9;08-16
13.90;13.9
14.2;08-16
14.29;14.2
14.4;08-16
14.49;14.4
14.5;08-16
14.59;14.5
14.7;08-16
14.72;14.7
14.74;14.7
14.79;14.7
14.9;08-16
16.0;08-16
16.09;16.0
16.4;08-16
16.42;16.4
16.49;16.4
16.5;08-16
16.59;16.5
16.8;08-16
16.89;16.8
16.9;08-16
16.99;16.9
17-17;ROOT
17.1;17-17
17.11;17.1
17.12;17.1
17.13;17.1
17.3;17-17
17.31;17.3
17.32;17.3
17.39;17.3
17.4;17-17
17.41;17.4
17.42;17.4
17.45;17.4
17.5;17-17
17.53;17.5
17.55;17.5
17.56;17.5
17.6;17-17
17.69;17.6
17.7;17-17
17.70;17.7
17.71;17.7
18-20;ROOT
18.0;18-20
18.09;18.0
18.2;18-20
18.29;18.2
18.3;18-20
18.39;18.3
18.7;18-20
18.79;18.7
19.1;18-20
19.19;19.1
19.9;18-20
20.0;18-20
20.09;20.0
20.4;18-20
20.49;20.4
20.7;18-20
20.79;20.7
20.9;18-20
20.96;20.9
20.98;20.9
21-29;ROOT
21.0;21-29
21.01;21.0
21.03;21.0
21.09;21.0
21.3;21-29
21.30;21.3
21.31;21.3
21.32;21.3
21.6;21-29
21.61;21.6
21.69;21.6
21.8;21-29
21.87;21.8
21.88;21.8
21.89;21.8
22.0;21-29
22.00;22.0
22.02;22.0
22.1;21-29
22.12;22.1
22.19;22.1
22.6;21-29
22.62;22.6
22.7;21-29
22.79;22.7
22.9;21-29
23.0;21-29
23.09;23.0
23.1;21-29
23.19;23.1
23.5;21-29
24.0;21-29
24.1;21-29
24.11;24.1
24.8;21-29
24.9;21-29
24.91;24.9
25.0;21-29
25.01;25.0
25.1;21-29
25.5;21-29
25.59;25.5
26.1;21-29
26.11;26.1
26.2;21-29
26.29;26.2
26.4;21-29
26.49;26.4
26.9;21-29
26.99;26.9
27.0;21-29
27.3;21-29
27.31;27.3
27.32;27.3
27.4;21-29
27.43;27.4
27.49;27.4
27.5;21-29
27.52;27.5
27.56;27.5
27.59;27.5
27.6;21-29
27.69;27.6
28.1;21-29
28.11;28.1
29.1;21-29
29.19;29.1
29.3;21-29
29.39;29.3
29.5;21-29
29.53;29.5
29.59;29.5
30-34;ROOT
30.0;30-34
30.09;30.0
30.2;30-34
30.29;30.2
31.2;30-34
31.29;31.2
31.3;30-34
31.4;30-34
31.42;31.4
31.45;31.4
31.48;31.4
31.5;30-34
31.6;30-34
31.69;31.6
31.7;30-34
31.73;31.7
31.75;31.7
31.79;31.7
31.9;30-34
31.92;31.9
31.93;31.9
31.95;31.9
31.98;31.9
31.99;31.9
32.0;30-34
32.01;32.0
32.09;32.0
32.1;30-34
32.2;30-34
32.24;32.2
32.26;32.2
32.27;32.2
32.28;32.2
32.29;32.2
32.3;30-34
32.30;32.3
32.4;30-34
32.49;32.4
33.2;30-34
33.23;33.2
33.29;33.2
33.3;30-34
33.39;33.3
33.4;30-34
33.48;33.4
33.49;33.4
33.7;30-34
33.71;33.7
33.72;33.7
33.73;33.7
33.78;33.7
33.79;33.7
33.9;30-34
33.98;33.9
33.99;33.9
34.0;30-34
34.06;34.0
34.09;34.0
34.2;30-34
34.24;34.2
34.25;34.2
34.3;30-34
34.4;30-34
34.5;30-34
34.52;34.5
34.59;34.5
34.7;30-34
34.73;34.7
34.79;34.7
34.8;30-34
34.81;34.8
34.84;34.8
34.89;34.8
34.9;30-34
34.99;34.9
35-39;ROOT
35.0;35-39
35.06;35.0
35.2;35-39
35.21;35.2
35.22;35.2
35.23;35.2
35.24;35.2
35.25;35.2
35.27;35.2
35.28;35.2
35.3;35-39
35.39;35.3
35.5;35-39
35.55;35.5
35.7;35-39
35.70;35.7
35.9;35-39
35.97;35.9
35.98;35.9
35.99;35.9
36.0;35-39
36.09;36.0
36.1;35-39
36.17;36.1
36.19;36.1
36.2;35-39
36.9;35-39
36.99;36.9
37.2;35-39
37.20;37.2
37.26;37.2
37.29;37.2
37.3;35-39
37.33;37.3
37.34;37.3
37.36;37.3
37.37;37.3
37.4;35-39
37.49;37.4
37.5;35-39
37.52;37.5
37.6;35-39
37.60;37.6
37.62;37.6
37.64;37.6
37.65;37.6
37.68;37.6
37.7;35-39
37.70;37.7
37.74;37.7
37.76;37.7
37.79;37.7
37.8;35-39
37.80;37.8
37.89;37.8
37.9;35-39
37.94;37.9
37.95;37.9
37.97;37.9
37.99;37.9
38.0;35-39
38.02;38.0
38.05;38.0
38.1;35-39
38.12;38.1
38.15;38.1
38.2;35-39
38.29;38.2
38.3;35-39
38.33;38.3
38.35;38.3
38.4;35-39
38.42;38.4
38.43;38.4
38.45;38.4
38.6;35-39
38.61;38.6
38.62;38.6
38.63;38.6
38.64;38.6
38.65;38.6
38.66;38.6
38.67;38.6
38.68;38.6
38.69;38.6
38.8;35-39
38.80;38.8
38.81;38.8
38.82;38.8
38.83;38.8
38.84;38.8
38.85;38.8
38.86;38.8
38.87;38.8
38.88;38.8
38.89;38.8
38.9;35-39
38.93;38.9
38.97;38.9
38.98;38.9
38.99;38.9
39.2;35-39
39.23;39.2
39.26;39.2
39.28;39.2
39.29;39.2
39.4;35-39
39.49;39.4
39.5;35-39
39.50;39.5
39.52;39.5
39.55;39.5
39.56;39.5
39.59;39.5
39.6;35-39
39.63;39.6
39.7;35-39
39.71;39.7
39.72;39.7
39.74;39.7
39.75;39.7
39.76;39.7
39.77;39.7
39.78;39.7
39.79;39.7
39.8;35-39
39.81;39.8
39.87;39.8
39.89;39.8
39.9;35-39
39.90;39.9
39.97;39.9
39.99;39.9
40-41;ROOT
40.1;40-41
40.19;40.1
40.2;40-41
40.29;40.2
40.4;40-41
40.40;40.4
40.41;40.4
40.5;40-41
40.59;40.5
40.6;40-41
40.69;40.6
40.9;40-41
41.0;40-41
41.04;41.0
41.05;41.0
41.06;41.0
41.07;41.0
41.3;40-41
41.32;41.3
41.39;41.3
41.4;40-41
41.42;41.4
41.9;40-41
41.98;41.9
41.99;41.9
42-54;ROOT
42.2;42-54
42.23;42.2
42.3;42-54
42.32;42.3
42.33;42.3
42.39;42.3
42.5;42-54
42.54;42.5
42.58;42.5
42.59;42.5
42.6;42-54
42.65;42.6
42.69;42.6
42.8;42-54
42.82;42.8
42.84;42.8
42.87;42.8
42.89;42.8
42.9;42-54
42.99;42.9
43.1;42-54
43.19;43.1
43.4;42-54
43.41;43.4
43.42;43.4
43.49;43.4
43.5;42-54
43.8;42-54
43.89;43.8
43.9;42-54
43.99;43.9
44.0;42-54
44.03;44.0
44.1;42-54
44.13;44.1
44.19;44.1
44.2;42-54
44.29;44.2
44.3;42-54
44.32;44.3
44.39;44.3
44.4;42-54
44.43;44.4
44.44;44.4
44.49;44.4
44.6;42-54
44.63;44.6
44.66;44.6
44.67;44.6
44.68;44.6
44.69;44.6
44.9;42-54
44.92;44.9
44.95;44.9
44.96;44.9
44.97;44.9
44.98;44.9
44.99;44.9
45.0;42-54
45.02;45.0
45.1;42-54
45.13;45.1
45.19;45.1
45.2;42-54
45.28;45.2
45.29;45.2
45.3;42-54
45.30;45.3
45.31;45.3
45.33;45.3
45.34;45.3
45.4;42-54
45.43;45.4
45.49;45.4
45.5;42-54
45.51;45.5
45.52;45.5
45.6;42-54
45.62;45.6
45.7;42-54
45.71;45.7
45.72;45.7
45.73;45.7
45.74;45.7
45.75;45.7
45.76;45.7
45.8;42-54
45.81;45.8
45.82;45.8
45.83;45.8
45.9;42-54
45.93;45.9
46.2;42-54
46.23;46.2
46.3;42-54
46.31;46.3
46.32;46.3
46.39;46.3
46.4;42-54
46.43;46.4
46.6;42-54
46.62;46.6
46.64;46.6
46.7;42-54
46.73;46.7
46.74;46.7
46.75;46.7
46.79;46.7
46.8;42-54
46.85;46.8
46.86;46.8
46.87;46.8
46.9;42-54
46.95;46.9
